City,,Day_of_Week,Ride_Distance_KM,Ride_Type,Weather,Available_Drivers,Demand_Level,Hour_of_Day,Is_Weekend,Ride_Priority,Time_of_Day,Surge_Multiplier
Đà Nẵng,,1,8.24,Ô Tô 4 Chỗ,Nắng,0.869718,0.493991,14,0,85.84,Cao điểm Tối,1.25
Hà Nội,,1,11.31,Ô Tô 4 Chỗ,Mưa Bão,0.291609,0.468233,4,0,91.85,Đêm,1.41
Hà Nội,,4,16.41,Xe ViP,Mưa Bão,0.976597,0.899229,13,0,85.42,Đêm,1.21
Hà Nội,,2,2.1,Xe ViP,Mưa,0.428058,0.813947,10,0,87.39,Cao điểm Sáng,2.44
Cần Thơ,,5,18.07,Xe Máy,Nắng,0.893432,0.5059,21,1,89.16,Chiều,1
Hà Nội,,4,14.25,Xe Máy,Nhiều Mây,0.303245,0.664619,20,0,96.82,Cao điểm Sáng,1.89
Đà Nẵng,,0,19.5,Ô Tô 4 Chỗ,Nhiều Mây,0.934143,0.910157,11,0,93.36,Đêm,1
Hà Nội,,2,1.72,Xe Máy,Mưa,0.96012,0.406532,10,0,92.27,Chiều,1.15
Cần Thơ,,5,19.59,Xe Máy,Nắng,0.971471,0.447907,15,1,85.74,Cao điểm Sáng,1.25
Hà Nội,,2,1.54,Ô Tô 4 Chỗ,Nắng,0.971247,0.969588,1,0,94.75,Cao điểm Tối,1.13
Hà Nội,,2,8.02,Xe ViP,Mưa Bão,0.788956,0.878172,12,0,91.29,Đêm,1.29
Hải Phòng,,6,11.15,Xe ViP,Mưa Bão,0.451744,0.905549,5,1,90.98,Cao điểm Tối,2.89
Hải Phòng,,0,18.86,Xe Máy,Mưa Bão,0.67037,0.966139,10,0,88.42,Cao điểm Sáng,2.21
Cần Thơ,,4,18.9,Xe Máy,Nắng,0.768118,0.708845,14,0,85.55,Chiều,1
Cần Thơ,,0,17.94,Ô Tô 4 Chỗ,Mưa,0.946147,0.761399,7,0,87.72,Cao điểm Tối,2.26
Cần Thơ,,5,18.01,Xe Máy,Mưa,0.328727,0.503824,14,1,98.84,Cao điểm Tối,1.98
Đà Nẵng,,1,1.36,Ô Tô 4 Chỗ,Mưa,0.76953,0.582627,12,0,92.68,Chiều,1.18
Cần Thơ,,6,7.98,Xe Máy,Mưa Bão,0.73578,0.825783,23,1,89.87,Cao điểm Sáng,2.25
Cần Thơ,,0,13.18,Xe ViP,Mưa,0.371373,0.507881,4,0,95.88,Cao điểm Sáng,1.93
Hà Nội,,5,2.32,Xe Máy,Mưa Bão,0.282564,0.71039,18,1,84.36,Cao điểm Sáng,2.92
Hồ Chí Minh,,0,7.83,Xe ViP,Nắng,0.485593,0.760823,6,0,91.57,Cao điểm Sáng,1.64
Hải Phòng,,5,13.98,Xe ViP,Nhiều Mây,0.389403,0.532678,19,1,94.13,Chiều,1
Đà Nẵng,,3,15.97,Xe ViP,Nhiều Mây,0.566355,0.685774,21,0,86.2,Cao điểm Sáng,1.5
Cần Thơ,,1,16.47,Xe ViP,Nắng,0.891823,0.636545,16,0,83.36,Cao điểm Sáng,1.37
Hồ Chí Minh,,4,11.87,Ô Tô 4 Chỗ,Nắng,0.365487,0.597277,16,0,94.1,Chiều,1.35
Hồ Chí Minh,,0,16.94,Xe ViP,Nhiều Mây,0.356172,0.948985,15,0,89.4,Cao điểm Sáng,2.03
Hồ Chí Minh,,4,4.22,Xe ViP,Nhiều Mây,0.316946,0.83436,3,0,92.13,Đêm,1.78
Hà Nội,,6,12.8,Ô Tô 4 Chỗ,Nắng,0.425509,0.571888,2,1,85.65,Đêm,1.22
Đà Nẵng,,5,2.86,Xe ViP,Nắng,0.834743,0.872501,5,1,90.01,Cao điểm Tối,1.15
Đà Nẵng,,2,12.79,Xe Máy,Mưa Bão,0.658417,0.673764,3,0,93.75,Chiều,1.17
Hà Nội,,2,17.22,Xe ViP,Mưa,0.892165,0.911199,2,0,91.52,Chiều,1.14
Đà Nẵng,,5,3.69,Ô Tô 4 Chỗ,Nhiều Mây,0.897822,0.605433,12,1,97.84,Cao điểm Tối,1
Hải Phòng,,4,5.12,Ô Tô 4 Chỗ,Mưa Bão,0.791362,0.930928,19,0,94.19,Đêm,1.46
Cần Thơ,,4,2.85,Xe ViP,Mưa Bão,0.429944,0.906243,16,0,87.22,Đêm,1.9
Đà Nẵng,,1,9.25,Xe Máy,Nắng,0.84609,0.984027,3,0,94.64,Chiều,1.21
Đà Nẵng,,3,5.17,Ô Tô 4 Chỗ,Mưa,0.775528,0.7184,8,0,90.52,Cao điểm Tối,1.73
Hải Phòng,,6,10.19,Ô Tô 4 Chỗ,Mưa,0.337182,0.677928,13,1,92.84,Đêm,1.82
Hà Nội,,4,12.15,Ô Tô 4 Chỗ,Mưa Bão,0.394609,0.404156,3,0,96.66,Đêm,1.26
Hà Nội,,1,2.87,Ô Tô 4 Chỗ,Nắng,0.610742,0.814761,20,0,88.46,Đêm,1.31
Hải Phòng,,5,7.82,Xe Máy,Nắng,0.650063,0.529557,8,1,98.96,Cao điểm Sáng,1.32
Đà Nẵng,,0,14.32,Xe Máy,Nắng,0.236019,0.865627,21,0,91.01,Chiều,1.94
Đà Nẵng,,5,17,Xe Máy,Nhiều Mây,0.267883,0.916639,2,1,93.61,Đêm,1.9
Hà Nội,,2,14.4,Xe Máy,Mưa Bão,0.884562,0.60897,21,0,90.47,Đêm,1.36
Cần Thơ,,2,1.4,Ô Tô 4 Chỗ,Mưa,0.71628,0.679162,12,0,94.65,Cao điểm Sáng,2.2
Hà Nội,,0,18.39,Ô Tô 4 Chỗ,Mưa Bão,0.469039,0.491678,16,0,85.14,Cao điểm Sáng,1.63
Hà Nội,,2,10.59,Xe ViP,Mưa Bão,0.328192,0.57149,19,0,86.17,Cao điểm Sáng,1.96
Đà Nẵng,,5,14.82,Ô Tô 4 Chỗ,Nhiều Mây,0.716951,0.481084,5,1,94.57,Đêm,1
Hải Phòng,,0,9.13,Xe Máy,Mưa Bão,0.626711,0.982561,19,0,86.88,Chiều,1.86
Hồ Chí Minh,,1,19.02,Xe ViP,Mưa Bão,0.502827,0.505134,23,0,89.18,Cao điểm Sáng,1.65
Cần Thơ,,0,17.98,Xe Máy,Mưa,0.986992,0.44439,18,0,94.54,Đêm,1.39
Hồ Chí Minh,,3,3.09,Xe ViP,Mưa Bão,0.631881,0.925208,16,0,85.55,Cao điểm Sáng,2.71
Cần Thơ,,1,2.15,Ô Tô 4 Chỗ,Mưa Bão,0.768174,0.702569,17,0,94.47,Chiều,1.39
Hà Nội,,0,6.22,Xe Máy,Nắng,0.542125,0.512053,11,0,94.79,Chiều,1
Hải Phòng,,2,2.14,Xe ViP,Mưa Bão,0.534671,0.552408,15,0,83.82,Chiều,1.25
Hà Nội,,1,10.46,Xe Máy,Mưa Bão,0.434375,0.452241,16,0,97.68,Cao điểm Tối,1.66
Cần Thơ,,4,12.1,Ô Tô 4 Chỗ,Nắng,0.946231,0.561326,20,0,86.64,Cao điểm Sáng,1.25
Hải Phòng,,3,2.19,Xe ViP,Nhiều Mây,0.32041,0.40931,18,0,85.52,Đêm,1.13
Hà Nội,,0,4.02,Xe Máy,Mưa Bão,0.202256,0.718606,1,0,95.53,Chiều,2.05
Hồ Chí Minh,,6,0.79,Xe Máy,Nhiều Mây,0.279711,0.745232,19,1,88.35,Đêm,1.7
Hồ Chí Minh,,0,16.82,Xe Máy,Nắng,0.887833,0.962438,15,0,93.7,Cao điểm Sáng,1.39
Hải Phòng,,6,10.75,Xe Máy,Mưa Bão,0.63581,0.550188,18,1,87.09,Cao điểm Tối,1.93
Cần Thơ,,2,18.27,Xe Máy,Nắng,0.819861,0.679218,9,0,85.59,Cao điểm Tối,1.3
Cần Thơ,,3,1.69,Xe Máy,Mưa,0.384753,0.827773,21,0,87.16,Chiều,1.82
Hồ Chí Minh,,5,16.06,Ô Tô 4 Chỗ,Nhiều Mây,0.427347,0.728477,18,1,97.19,Chiều,1.45
Hà Nội,,4,16.61,Xe ViP,Mưa Bão,0.862231,0.546856,14,0,95.59,Cao điểm Sáng,2.11
Cần Thơ,,2,15.23,Xe ViP,Mưa,0.514032,0.619225,13,0,98.31,Chiều,1.43
Cần Thơ,,2,15.56,Xe Máy,Nhiều Mây,0.624776,0.556646,6,0,97.13,Đêm,1
Hồ Chí Minh,,3,16.25,Xe Máy,Mưa,0.598728,0.718584,23,0,92.74,Chiều,1.48
Đà Nẵng,,3,6.97,Xe ViP,Mưa,0.872306,0.432865,3,0,96.4,Đêm,1.16
Đà Nẵng,,3,3.73,Xe ViP,Mưa,0.722643,0.47908,18,0,93.89,Đêm,1.15
Hà Nội,,6,2.94,Xe ViP,Nhiều Mây,0.797182,0.62126,19,1,89.59,Đêm,1
Đà Nẵng,,3,17.28,Xe ViP,Mưa Bão,0.270333,0.491128,19,0,87.79,Đêm,1.73
Cần Thơ,,1,5.52,Ô Tô 4 Chỗ,Mưa Bão,0.849855,0.931639,15,0,94.01,Đêm,1.51
Đà Nẵng,,5,7.9,Xe ViP,Mưa Bão,0.816516,0.742074,19,1,91.05,Cao điểm Sáng,1.71
Hà Nội,,4,17.52,Ô Tô 4 Chỗ,Mưa Bão,0.364512,0.904245,3,0,92.44,Chiều,2.1
Cần Thơ,,2,1.51,Ô Tô 4 Chỗ,Nhiều Mây,0.904094,0.735747,12,0,95.21,Cao điểm Sáng,1.19
Hà Nội,,4,19.49,Ô Tô 4 Chỗ,Nắng,0.323099,0.992006,5,0,93.85,Chiều,2
Hà Nội,,5,5.85,Xe Máy,Mưa,0.506007,0.915709,13,1,95.48,Cao điểm Tối,3
Hà Nội,,3,9.59,Ô Tô 4 Chỗ,Nhiều Mây,0.261079,0.682463,23,0,96.35,Cao điểm Sáng,1.78
Hà Nội,,3,8.5,Xe ViP,Nhiều Mây,0.844503,0.723005,8,0,95.28,Cao điểm Sáng,1.29
Đà Nẵng,,0,9.24,Xe Máy,Mưa Bão,0.914176,0.816659,22,0,93.61,Chiều,1.35
Cần Thơ,,0,14.76,Ô Tô 4 Chỗ,Mưa,0.59704,0.95036,21,0,89.93,Đêm,1.83
Đà Nẵng,,2,11.7,Ô Tô 4 Chỗ,Nhiều Mây,0.386696,0.435927,18,0,88.16,Cao điểm Sáng,1.19
Hải Phòng,,1,10,Ô Tô 4 Chỗ,Nhiều Mây,0.582726,0.417656,2,0,86.93,Đêm,1
Hồ Chí Minh,,2,10.01,Ô Tô 4 Chỗ,Nhiều Mây,0.74275,0.59226,2,0,97.67,Chiều,1
Hải Phòng,,2,13.42,Ô Tô 4 Chỗ,Nắng,0.996517,0.704463,7,0,96.32,Chiều,1
Hải Phòng,,1,11.22,Ô Tô 4 Chỗ,Nhiều Mây,0.309344,0.581307,23,0,91.5,Cao điểm Tối,1.64
Hải Phòng,,4,10.64,Xe Máy,Nắng,0.942977,0.778739,10,0,93.03,Chiều,1
Hà Nội,,4,6.15,Xe Máy,Mưa Bão,0.904917,0.961457,16,0,88.42,Chiều,1.36
Hà Nội,,5,18.42,Xe ViP,Mưa,0.520274,0.642493,2,1,88.3,Cao điểm Sáng,1.95
Đà Nẵng,,2,3.49,Xe ViP,Mưa Bão,0.654466,0.893769,11,0,93.77,Đêm,1.56
Hồ Chí Minh,,6,13.68,Xe ViP,Nhiều Mây,0.860197,0.674978,18,1,86.85,Cao điểm Sáng,1.24
Hà Nội,,6,15.8,Ô Tô 4 Chỗ,Nhiều Mây,0.370399,0.627616,0,1,88.72,Cao điểm Tối,1.57
Hải Phòng,,2,9.88,Xe Máy,Mưa Bão,0.209617,0.750681,4,0,91.09,Đêm,2.02
Hồ Chí Minh,,0,3.06,Xe ViP,Nắng,0.568427,0.737885,19,0,98.09,Cao điểm Sáng,1.37
Đà Nẵng,,2,0.65,Xe Máy,Nhiều Mây,0.451917,0.7042,11,0,91.78,Đêm,1.38
Đà Nẵng,,1,16.11,Ô Tô 4 Chỗ,Mưa Bão,0.626027,0.523648,20,0,95.65,Cao điểm Tối,1.67
Cần Thơ,,1,15.45,Ô Tô 4 Chỗ,Mưa,0.790502,0.494672,5,0,88.14,Đêm,1.39
Hồ Chí Minh,,1,2.4,Xe Máy,Nhiều Mây,0.570628,0.886005,14,0,86.02,Đêm,1.47
Hải Phòng,,2,18.4,Ô Tô 4 Chỗ,Nhiều Mây,0.292761,0.526284,3,0,92.69,Cao điểm Sáng,1.49
Đà Nẵng,,1,2.2,Xe ViP,Mưa,0.840267,0.728135,23,0,95.98,Cao điểm Sáng,2.04
Hồ Chí Minh,,0,11.19,Xe ViP,Nhiều Mây,0.460422,0.443231,10,0,94.19,Cao điểm Tối,1.11
Cần Thơ,,6,3.17,Ô Tô 4 Chỗ,Mưa,0.897214,0.786121,17,1,96.59,Đêm,1.32
Hải Phòng,,2,7.27,Xe Máy,Nắng,0.761215,0.607964,16,0,99.57,Cao điểm Tối,1.36
Hà Nội,,4,19.22,Xe Máy,Mưa,0.715284,0.695033,7,0,93.69,Cao điểm Sáng,1.65
Hồ Chí Minh,,4,0.62,Ô Tô 4 Chỗ,Nhiều Mây,0.507301,0.461144,18,0,91.13,Đêm,1
Cần Thơ,,0,18.85,Ô Tô 4 Chỗ,Mưa Bão,0.267392,0.644021,7,0,90.06,Cao điểm Sáng,2.82
Đà Nẵng,,1,15.29,Xe ViP,Mưa Bão,0.232845,0.693682,5,0,84.34,Đêm,1.99
Cần Thơ,,2,19.27,Xe Máy,Mưa,0.700202,0.873842,16,0,85.09,Chiều,1.39
Cần Thơ,,1,18.62,Ô Tô 4 Chỗ,Mưa,0.672509,0.521662,6,0,86.64,Cao điểm Tối,2.28
Hồ Chí Minh,,5,4.63,Xe Máy,Nắng,0.806672,0.760576,21,1,95.83,Cao điểm Tối,1.4
Cần Thơ,,6,9.72,Xe Máy,Mưa,0.69531,0.87748,1,1,98.96,Cao điểm Tối,2.62
Cần Thơ,,2,4.41,Xe ViP,Mưa,0.313909,0.601672,10,0,93.12,Cao điểm Sáng,1.97
Hồ Chí Minh,,6,1.68,Xe ViP,Mưa,0.819229,0.880241,6,1,96.02,Cao điểm Tối,1.87
Hà Nội,,2,17.41,Xe ViP,Mưa,0.882861,0.532779,7,0,90.99,Chiều,1.29
Hồ Chí Minh,,4,5.12,Xe Máy,Nắng,0.754043,0.546304,17,0,89.12,Cao điểm Sáng,1.36
Cần Thơ,,3,2.35,Xe ViP,Mưa,0.77335,0.885252,5,0,94.46,Đêm,1.56
Hồ Chí Minh,,4,7.04,Ô Tô 4 Chỗ,Mưa Bão,0.48881,0.807902,6,0,90.22,Cao điểm Sáng,2.93
Hồ Chí Minh,,6,16.68,Xe ViP,Mưa Bão,0.388017,0.985048,11,1,86.85,Cao điểm Sáng,2.56
Hải Phòng,,2,3.82,Xe Máy,Mưa Bão,0.985515,0.444837,1,0,84.69,Chiều,1.27
Cần Thơ,,2,18.15,Xe Máy,Mưa,0.676626,0.940557,5,0,93.51,Chiều,1.68
Cần Thơ,,3,14.04,Ô Tô 4 Chỗ,Nắng,0.405763,0.657117,6,0,95.51,Đêm,1.38
Hà Nội,,4,2.73,Ô Tô 4 Chỗ,Nhiều Mây,0.246583,0.633475,15,0,87.7,Cao điểm Sáng,1.79
Cần Thơ,,1,8.22,Xe Máy,Nhiều Mây,0.248997,0.448418,19,0,94.07,Chiều,1.3
Hải Phòng,,5,9.05,Ô Tô 4 Chỗ,Mưa Bão,0.661072,0.591073,9,1,87.16,Chiều,1.25
Đà Nẵng,,4,1.93,Xe ViP,Nhiều Mây,0.483584,0.465873,9,0,86.34,Cao điểm Tối,1.29
Hà Nội,,6,16.86,Xe ViP,Nhiều Mây,0.958903,0.479956,1,1,92.71,Cao điểm Tối,1.4
Hà Nội,,1,8.9,Ô Tô 4 Chỗ,Mưa Bão,0.733345,0.532376,10,0,90.18,Chiều,1.18
Hồ Chí Minh,,3,17.62,Xe ViP,Nắng,0.500976,0.474139,16,0,91.74,Cao điểm Tối,1.25
Hà Nội,,6,1.64,Xe Máy,Nắng,0.927504,0.876721,18,1,89.66,Cao điểm Sáng,1.13
Cần Thơ,,6,13.05,Xe ViP,Nhiều Mây,0.39108,0.436424,17,1,83.9,Chiều,1.02
Hà Nội,,2,12.52,Xe Máy,Mưa Bão,0.770676,0.944029,23,0,88.37,Cao điểm Tối,1.79
Hồ Chí Minh,,6,17.84,Xe ViP,Nhiều Mây,0.870528,0.574955,8,1,86.09,Cao điểm Sáng,1.13
Hải Phòng,,0,9.87,Ô Tô 4 Chỗ,Mưa,0.756156,0.905531,16,0,96.1,Đêm,1.58
Hải Phòng,,5,17.07,Xe ViP,Nhiều Mây,0.557505,0.740303,12,1,96.24,Cao điểm Tối,1.37
Hải Phòng,,4,2.82,Xe Máy,Nhiều Mây,0.528627,0.630934,18,0,85.45,Đêm,1.15
Hà Nội,,0,5.42,Xe ViP,Mưa Bão,0.976028,0.603669,2,0,90.19,Chiều,1.22
Hải Phòng,,2,8.31,Ô Tô 4 Chỗ,Mưa Bão,0.278889,0.530105,6,0,87.47,Chiều,1.63
Hà Nội,,2,18.23,Xe ViP,Nhiều Mây,0.397307,0.584835,6,0,89.81,Chiều,1.28
Hà Nội,,1,4.2,Xe Máy,Nhiều Mây,0.209849,0.968488,3,0,98.49,Đêm,2.14
Hải Phòng,,2,8.85,Xe ViP,Nắng,0.353493,0.714611,14,0,90.05,Cao điểm Tối,1.89
Hải Phòng,,2,4.18,Xe ViP,Nắng,0.946283,0.89066,8,0,97.25,Cao điểm Tối,1.15
Hải Phòng,,2,3.79,Ô Tô 4 Chỗ,Mưa Bão,0.309815,0.927746,10,0,92.19,Chiều,2.08
Hồ Chí Minh,,0,3.01,Xe ViP,Nắng,0.616826,0.702589,18,0,87.69,Đêm,1.13
Đà Nẵng,,5,13.72,Xe Máy,Nhiều Mây,0.876204,0.502929,6,1,98.54,Đêm,1
Hải Phòng,,0,2.19,Xe ViP,Nắng,0.47261,0.449748,9,0,96.31,Đêm,1
Hải Phòng,,4,17.66,Xe Máy,Mưa,0.800641,0.434423,12,0,84.29,Đêm,1.31
Cần Thơ,,6,4.05,Xe Máy,Nắng,0.764411,0.409332,0,1,87.59,Chiều,1
Đà Nẵng,,3,4.21,Ô Tô 4 Chỗ,Nhiều Mây,0.461694,0.678938,16,0,95.58,Chiều,1.33
Cần Thơ,,4,17.95,Xe ViP,Mưa Bão,0.470346,0.621478,15,0,90.63,Cao điểm Sáng,1.81
Hải Phòng,,2,14.74,Ô Tô 4 Chỗ,Nhiều Mây,0.948764,0.495038,1,0,86.75,Cao điểm Sáng,1.39
Cần Thơ,,4,19.53,Xe ViP,Mưa,0.445845,0.421312,15,0,89.02,Cao điểm Tối,1.99
Cần Thơ,,0,14.73,Xe Máy,Mưa,0.602127,0.488841,0,0,85.27,Cao điểm Tối,2.41
Đà Nẵng,,0,11.6,Ô Tô 4 Chỗ,Nắng,0.699984,0.872378,19,0,95.95,Cao điểm Sáng,1.36
Hải Phòng,,6,18.13,Xe Máy,Mưa Bão,0.619138,0.486824,14,1,86.12,Chiều,1.36
Hồ Chí Minh,,0,19.45,Ô Tô 4 Chỗ,Mưa,0.56948,0.73901,13,0,94.55,Cao điểm Sáng,1.99
Cần Thơ,,3,12.75,Xe ViP,Mưa Bão,0.689647,0.481583,9,0,92.17,Cao điểm Sáng,2.21
Cần Thơ,,0,6.2,Xe Máy,Mưa Bão,0.653087,0.664853,21,0,91.19,Chiều,1.24
Hà Nội,,3,13.19,Xe ViP,Nhiều Mây,0.519891,0.657692,17,0,86.69,Đêm,1.21
Hà Nội,,3,0.72,Xe ViP,Mưa,0.758646,0.560685,22,0,92.72,Đêm,1.26
Hồ Chí Minh,,0,3.49,Ô Tô 4 Chỗ,Mưa Bão,0.261764,0.815049,16,0,98.92,Đêm,2.13
Cần Thơ,,1,17.72,Ô Tô 4 Chỗ,Mưa,0.457404,0.707457,17,0,85.01,Đêm,1.55
Hồ Chí Minh,,4,15.28,Xe Máy,Nắng,0.620669,0.68568,7,0,86.08,Cao điểm Sáng,1.3
Cần Thơ,,2,8.94,Xe ViP,Mưa Bão,0.570441,0.904403,14,0,97.15,Đêm,1.72
Hà Nội,,1,8.03,Xe ViP,Mưa,0.254091,0.743863,0,0,96.58,Đêm,1.87
Hải Phòng,,4,2.24,Xe Máy,Nắng,0.989185,0.912621,7,0,92.06,Đêm,1
Hải Phòng,,3,8.45,Ô Tô 4 Chỗ,Nắng,0.432766,0.462265,22,0,87.3,Chiều,1.04
Hồ Chí Minh,,1,8.77,Xe Máy,Nắng,0.688632,0.842941,18,0,97.26,Cao điểm Sáng,1.42
Cần Thơ,,3,4.49,Xe Máy,Nhiều Mây,0.831526,0.648561,22,0,96.24,Đêm,1
Hải Phòng,,0,4.14,Xe ViP,Nhiều Mây,0.922022,0.702854,10,0,93.53,Cao điểm Tối,1.27
Đà Nẵng,,3,19.73,Xe Máy,Mưa,0.74558,0.848625,15,0,86.52,Cao điểm Tối,1.68
Hà Nội,,0,8.32,Xe Máy,Nhiều Mây,0.999754,0.576665,22,0,93.88,Đêm,1
Đà Nẵng,,1,18.74,Xe Máy,Nắng,0.913508,0.477879,12,0,97.73,Đêm,1
Hà Nội,,1,16.87,Ô Tô 4 Chỗ,Mưa,0.349024,0.723474,7,0,96.58,Cao điểm Tối,2.93
Cần Thơ,,5,2.79,Xe ViP,Nhiều Mây,0.256699,0.627234,0,1,84.26,Cao điểm Sáng,1.57
Hải Phòng,,1,13.53,Ô Tô 4 Chỗ,Mưa Bão,0.923653,0.559353,7,0,90.69,Cao điểm Tối,1.82
Hải Phòng,,0,13.81,Xe Máy,Mưa Bão,0.669302,0.87409,12,0,90.78,Cao điểm Tối,2.27
Hà Nội,,5,9,Xe ViP,Mưa,0.212381,0.436199,20,1,87.51,Cao điểm Sáng,1.9
Đà Nẵng,,2,6.41,Xe ViP,Nắng,0.618452,0.698561,21,0,95.61,Đêm,1.12
Hà Nội,,2,12.76,Xe Máy,Mưa Bão,0.264031,0.830963,23,0,87.48,Chiều,2.11
Hải Phòng,,0,9.75,Ô Tô 4 Chỗ,Mưa,0.631273,0.558709,13,0,85.1,Cao điểm Tối,2.27
Cần Thơ,,1,10.64,Xe Máy,Nhiều Mây,0.928366,0.85661,23,0,93.86,Cao điểm Tối,1.22
Cần Thơ,,0,1.61,Ô Tô 4 Chỗ,Mưa Bão,0.606303,0.938158,22,0,91.57,Cao điểm Sáng,2.9
Hà Nội,,0,1.1,Ô Tô 4 Chỗ,Nắng,0.950899,0.878802,16,0,97.24,Chiều,1
Đà Nẵng,,3,12.9,Ô Tô 4 Chỗ,Nhiều Mây,0.580429,0.693094,3,0,88.25,Chiều,1.17
Hồ Chí Minh,,6,7.4,Xe Máy,Mưa,0.53727,0.515316,17,1,88.42,Chiều,1.22
Hải Phòng,,3,1.57,Xe ViP,Nắng,0.508129,0.802142,0,0,86.73,Chiều,1.44
Hồ Chí Minh,,6,1.93,Xe Máy,Mưa,0.808141,0.579028,2,1,95.77,Chiều,1.13
Hải Phòng,,1,5.99,Ô Tô 4 Chỗ,Mưa Bão,0.532857,0.634266,7,0,99.35,Cao điểm Tối,1.94
Hải Phòng,,2,12.42,Xe Máy,Mưa,0.937574,0.993165,19,0,84.99,Cao điểm Tối,2.36
Hà Nội,,6,1.95,Ô Tô 4 Chỗ,Mưa,0.330608,0.766406,7,1,98.42,Đêm,2.02
Cần Thơ,,5,7.61,Ô Tô 4 Chỗ,Mưa,0.922623,0.589778,20,1,91.44,Đêm,1.31
Hà Nội,,5,2.27,Xe ViP,Mưa,0.290508,0.947592,19,1,93.53,Đêm,2.13
Cần Thơ,,5,18.29,Xe ViP,Mưa,0.521171,0.801054,0,1,94.35,Cao điểm Tối,2.86
Hồ Chí Minh,,4,9.41,Xe ViP,Mưa Bão,0.966317,0.60882,4,0,85.09,Chiều,1.39
Hồ Chí Minh,,6,15.43,Ô Tô 4 Chỗ,Mưa,0.467086,0.832941,0,1,84.86,Đêm,1.9
Hải Phòng,,6,13.2,Xe Máy,Mưa,0.526537,0.921808,8,1,94.86,Đêm,1.98
Cần Thơ,,3,4.26,Xe ViP,Mưa Bão,0.761755,0.516747,13,0,96.66,Đêm,1.36
Hà Nội,,2,16.13,Xe Máy,Nắng,0.69184,0.991716,4,0,85.62,Cao điểm Tối,1.75
Cần Thơ,,4,19.8,Ô Tô 4 Chỗ,Mưa Bão,0.957443,0.451283,18,0,91.96,Đêm,1.4
Hồ Chí Minh,,2,16.67,Ô Tô 4 Chỗ,Nắng,0.569881,0.897505,6,0,90.08,Đêm,1.49
Đà Nẵng,,5,16.72,Xe ViP,Nhiều Mây,0.377817,0.8238,17,1,87.44,Đêm,1.61
Đà Nẵng,,6,18.94,Xe Máy,Nhiều Mây,0.322002,0.911097,15,1,87.13,Đêm,1.72
Hồ Chí Minh,,1,18.57,Xe Máy,Nhiều Mây,0.370992,0.954859,17,0,92.31,Chiều,1.88
Hà Nội,,2,10.15,Xe ViP,Mưa,0.454886,0.814835,17,0,86.75,Chiều,1.69
Hồ Chí Minh,,0,2,Xe Máy,Nhiều Mây,0.737888,0.647574,11,0,92.67,Cao điểm Tối,1.33
Đà Nẵng,,4,9.71,Ô Tô 4 Chỗ,Mưa,0.87542,0.607527,14,0,90.94,Cao điểm Tối,2.01
Hà Nội,,0,2.32,Ô Tô 4 Chỗ,Nhiều Mây,0.603249,0.987266,9,0,96.35,Đêm,1.58
Hải Phòng,,6,14.36,Xe Máy,Nhiều Mây,0.723486,0.794525,6,1,86.74,Cao điểm Tối,1.14
Đà Nẵng,,6,17.62,Ô Tô 4 Chỗ,Mưa,0.40433,0.409349,6,1,93.39,Đêm,1.2
Hà Nội,,5,9.55,Ô Tô 4 Chỗ,Nhiều Mây,0.267951,0.525654,4,1,94.27,Chiều,1.39
Cần Thơ,,6,9.06,Xe Máy,Nắng,0.260207,0.409067,1,1,99.16,Đêm,1.13
Hải Phòng,,2,8.79,Xe Máy,Nhiều Mây,0.453374,0.649493,6,0,94.42,Cao điểm Tối,1.63
Đà Nẵng,,2,8.08,Xe Máy,Mưa Bão,0.290426,0.60195,8,0,92.66,Chiều,1.81
Đà Nẵng,,0,18.44,Xe Máy,Mưa,0.269192,0.449559,14,0,93.02,Đêm,1.51
Đà Nẵng,,5,10.92,Ô Tô 4 Chỗ,Nắng,0.916719,0.705463,8,1,89.17,Cao điểm Tối,1.01
Hồ Chí Minh,,4,9.79,Xe Máy,Mưa Bão,0.653614,0.555805,13,0,97.81,Đêm,1.13
Cần Thơ,,1,3.57,Xe Máy,Mưa Bão,0.546131,0.597477,18,0,90.3,Cao điểm Sáng,2.05
Cần Thơ,,6,1.88,Ô Tô 4 Chỗ,Nhiều Mây,0.765888,0.64512,20,1,92.62,Đêm,1
Đà Nẵng,,3,10.67,Xe ViP,Nắng,0.401551,0.419298,0,0,93.36,Cao điểm Sáng,1.39
Cần Thơ,,4,1.43,Ô Tô 4 Chỗ,Nắng,0.234028,0.981227,14,0,97.12,Đêm,2.12
Hồ Chí Minh,,1,14.18,Ô Tô 4 Chỗ,Nắng,0.756315,0.947156,17,0,97.83,Chiều,1.29
Đà Nẵng,,1,0.62,Ô Tô 4 Chỗ,Nhiều Mây,0.287149,0.910076,22,0,92.59,Cao điểm Sáng,2.3
Cần Thơ,,4,8.03,Xe Máy,Mưa Bão,0.313589,0.776865,17,0,85.37,Cao điểm Sáng,2.77
Hải Phòng,,4,15.85,Ô Tô 4 Chỗ,Nắng,0.839521,0.629616,2,0,85.91,Chiều,1
Cần Thơ,,4,19.28,Xe Máy,Nắng,0.787597,0.73832,18,0,91.53,Chiều,1
Hồ Chí Minh,,2,14.24,Ô Tô 4 Chỗ,Mưa,0.536193,0.623867,15,0,92.42,Cao điểm Sáng,2.2
